Date	BHH	"Post HH Ride"
1/12/2026	https://shift2bikes.org/calendar/event-23092	https://shift2bikes.org/calendar/event-23116
1/26/2026	https://shift2bikes.org/calendar/event-23093	https://shift2bikes.org/calendar/event-23117
2/9/2026	https://shift2bikes.org/calendar/event-23094	https://shift2bikes.org/calendar/event-23118
2/23/2026	https://shift2bikes.org/calendar/event-23095	https://shift2bikes.org/calendar/event-23119
3/9/2026	https://shift2bikes.org/calendar/event-23096	https://shift2bikes.org/calendar/event-23120
3/23/2026	https://shift2bikes.org/calendar/event-23097	https://shift2bikes.org/calendar/event-23121
4/13/2026	https://shift2bikes.org/calendar/event-23098	https://shift2bikes.org/calendar/event-23122
4/27/2026	https://shift2bikes.org/calendar/event-23099	https://shift2bikes.org/calendar/event-23123
5/11/2026	https://shift2bikes.org/calendar/event-23100	https://shift2bikes.org/calendar/event-23124
5/25/2026	https://shift2bikes.org/calendar/event-23101	https://shift2bikes.org/calendar/event-23125
6/8/2026	https://shift2bikes.org/calendar/event-23102	https://shift2bikes.org/calendar/event-23126
6/22/2026	https://shift2bikes.org/calendar/event-23103	https://shift2bikes.org/calendar/event-23127
7/13/2026	https://shift2bikes.org/calendar/event-23104	https://shift2bikes.org/calendar/event-23128
7/27/2026	https://shift2bikes.org/calendar/event-23105	https://shift2bikes.org/calendar/event-23129
8/10/2026	https://shift2bikes.org/calendar/event-23106	https://shift2bikes.org/calendar/event-23130
8/24/2026	https://shift2bikes.org/calendar/event-23107	https://shift2bikes.org/calendar/event-23131
9/14/2026	https://shift2bikes.org/calendar/event-23108	https://shift2bikes.org/calendar/event-23132
9/28/2026	https://shift2bikes.org/calendar/event-23109	https://shift2bikes.org/calendar/event-23133
10/12/2026	https://shift2bikes.org/calendar/event-23110	https://shift2bikes.org/calendar/event-23134
10/26/2026	https://shift2bikes.org/calendar/event-23111	https://shift2bikes.org/calendar/event-23135
11/9/2026	https://shift2bikes.org/calendar/event-23112	https://shift2bikes.org/calendar/event-23136
11/23/2026	https://shift2bikes.org/calendar/event-23113	https://shift2bikes.org/calendar/event-23137
12/14/2026	https://shift2bikes.org/calendar/event-23114	https://shift2bikes.org/calendar/event-23138
12/28/2026	https://shift2bikes.org/calendar/event-23115	https://shift2bikes.org/calendar/event-23139
